New Terminal Output:

Processing 52/79: 04122500 ... FLOOD: 7 days (threshold: 922.00 cfs)
Processing 53/79: 04124000 ... FLOOD: 7 days (threshold: 1287.50 cfs)
Processing 54/79: 04126970 ... FLOOD: 7 days (threshold: 158.50 cfs)
Processing 55/79: 04127917 ... FLOOD: 3 days (threshold: 688.75 cfs)
Processing 56/79: 04136000 ... FLOOD: 7 days (threshold: 1127.50 cfs)
Processing 57/79: 04142000 ... FLOOD: 7 days (threshold: 578.25 cfs)
Processing 58/79: 04144500 ... FLOOD: 6 days (threshold: 1000.25 cfs)
Processing 59/79: 04148140 ... FLOOD: 5 days (threshold: 326.75 cfs)
Processing 60/79: 04148440 ... No historical data
Processing 61/79: 04148500 ... FLOOD: 6 days (threshold: 2350.00 cfs)
Processing 62/79: 04150500 ... FLOOD: 5 days (threshold: 927.75 cfs)
Processing 63/79: 04151500 ... FLOOD: 5 days (threshold: 1857.50 cfs)
Processing 64/79: 04152500 ... FLOOD: 7 days (threshold: 606.00 cfs)
Processing 65/79: 04154000 ... FLOOD: 7 days (threshold: 540.25 cfs)
Processing 66/79: 04155500 ... FLOOD: 5 days (threshold: 634.80 cfs)
Processing 67/79: 04156000 ... FLOOD: 7 days (threshold: 3595.00 cfs)
Processing 68/79: 04159492 ... FLOOD: 4 days (threshold: 1055.00 cfs)
Processing 69/79: 04159900 ... FLOOD: 5 days (threshold: 487.25 cfs)
Processing 70/79: 04164000 ... FLOOD: 2 days (threshold: 1437.50 cfs)
Processing 71/79: 04164500 ... FLOOD: 4 days (threshold: 655.00 cfs)
Processing 72/79: 04165500 ... FLOOD: 3 days (threshold: 2395.00 cfs)
Processing 73/79: 04166500 ... FLOOD: 2 days (threshold: 686.50 cfs)
Processing 74/79: 04167000 ... FLOOD: 2 days (threshold: 347.00 cfs)
Processing 75/79: 04168400 ... FLOOD: 4 days (threshold: 334.50 cfs)
Processing 76/79: 04172000 ... No flooding
Processing 77/79: 04173500 ... FLOOD: 4 days (threshold: 235.50 cfs)
Processing 78/79: 04174500 ... FLOOD: 1 days (threshold: 1365.00 cfs)
Processing 79/79: 04176000 ... FLOOD: 5 days (threshold: 815.75 cfs)

============================================================
Found 58 stations with flooding

Results saved to /root/output/flood_results.csv

Summary:
station_id  flood_days
  04031000           1
  04036000           7
  04040000           3
  04059500           4
  04065722           2
  04066030           1
  04066800           2
  04097500           4
  04099000           4
  04101500           5
  04101800           6
  04102500           5
  04103500           3
  04105000           5
  04105500           5
  04106000           5
  04108660           5
  04111379           5
  04112500           5
  04112850           6
  04113000           6
  04114000           5
  04114498           6
  04115000           5
  04116000           5
  04117500           5
  04118500           5
  04119000           5
  04119160           5
  04121500           7
  04121970           7
  04122200           7
  04122500           7
  04124000           7
  04126970           7
  04127917           3
  04136000           7
  04142000           7
  04144500           6
  04148140           5
  04148500           6
  04150500           5
  04151500           5
  04152500           7
  04154000           7
  04155500           5
  04156000           7
  04159492           4
  04159900           5
  04164000           2
  04164500           4
  04165500           3
  04166500           2
  04167000           2
  04168400           4
  04173500           4
  04174500           1
  04176000           5
root@90924ac9ce32:~#
